,nickname,text,score,like,dislike,time,watch_movie
6053,날히(turn****),요즘 개봉영화중에 이게 가장 낫다. 최면에 대한 내용도 호기심 자극하기 좋았다. 결말이 어마무시하게 시시해서 별 두개 뺐다. 나는 재밌었는데 같이 본 사람은 졸았다함. 호불호 강한 영화,8,0,0,2017-05-29 16:30:00,0
6054,inh1****,TSA 홍보를 위한 꿀잼 영화 아이엠 티에스엄마아빠에이!!,8,0,0,2017-05-29 16:05:00,0
6055,제발(sang****),와 소름.  막 이런거는 아닌거 같고...  크리스를 제외한 흑인 배우들의 초점이 없는 것과 최면 이야기로 중간부터 최면 걸렸다는건 예상할 수 있었음. 풀어냈는데 자세한 내용이 없어서 속편 나올듯.,7,0,0,2017-05-29 15:57:00,0
6056,멘토스믹스(kron****),마지막까지 긴장을 푸울수가,9,0,0,2017-05-29 15:50:00,관람객
6057,munh****,국산영화 더게임 속편 본 느낌,7,0,0,2017-05-29 15:36:00,0
6058,피자사줘(appl****),별로 안 무서움...ㅋㅋ,8,0,0,2017-05-29 15:32:00,0
6059,thrt****,왠지 실제로 이런일이 잇을것 같은...,10,0,0,2017-05-29 14:48:00,0
6060,taij****,진짜 재밌음..개꿀잼,10,0,0,2017-05-29 14:19:00,0
6061,Victo(sjat****),처음보는 색다른 영화에요,8,0,0,2017-05-29 13:57:00,관람객
6062,zzzg(jmtj****),너무 놀래서 쉬할뻔 나만 소리지른거 같기도하고...,8,0,0,2017-05-29 13:46:00,관람객
6063,fila****,언뜻 스켈리톤키가 생각나는... 하지만 재미있고 결말은 속시원하네요.,7,0,0,2017-05-29 13:39:00,0
6064,보드블락맨(beat****),-25日캘뱐해적27日틸첫황사회식4시끝나고영화같은첫놉콘일출♡겟아웃28日틸숭덕분식흥분성북스토리♡2만원-뽕뽑백인여친가족들에게인사하러간흑인남주의흑형매력뽐내기손님들의남주관찰빙고경매할머니할아버지최면소름돋았다백인은흑인의어떤면은확...,9,0,0,2017-05-29 12:56:00,0
6065,노래른(nye7****),너무재맜어요!! 초집중하고 봄,9,0,0,2017-05-29 12:53:00,관람객
6066,Apatheia(dmsw****),소름끼치고 반전잇는영화 생각하면할수록 소름ㅋㅋㅋ주변인들한테재밌다고 보라고 추천중ㅋㅋㅋ안보면후회함 신선함!!,10,0,0,2017-05-29 12:50:00,0
6067,마쵸쵸(ksj9****),급 보러가게 되었는데 그냥그래요,6,0,0,2017-05-29 12:47:00,관람객
6068,KMJ(jenn****),그냥그냥 볼만합니다 끝이 애매하긴한데 그래도 재밌어용,8,0,0,2017-05-29 12:41:00,관람객
6069,타잔(hous****),주말와이프랑 둘이봤다ㅡ 조용히데리고갔다ㅡㅎ오ㅡ재미진데ㅡㅎㅎ신선함,9,0,0,2017-05-29 12:40:00,0
6070,zach****,솜뭉치가 없었음 영화는 찻잔소리와함께 사라졌다,7,0,0,2017-05-29 12:39:00,관람객
6071,조인성(pc34****),아주 재밌게 보고 생각을주는,10,0,0,2017-05-29 12:27:00,0
6072,바쿄(hyo1****),중반 까지 너무 좋았다.,7,0,0,2017-05-29 12:13:00,관람객
6073,조니(junj****),인종차별에대한 풍자를 품은 2017년도 판 '스켈리톤 키',8,0,0,2017-05-29 12:13:00,0
6074,보티마(kini****),이게 끝?.. 모야..했는데 그 여운이 계속 남는 영화.. 보면서 알지못했던 복선들을 되새기면서 또 한번 감탄하게 되는.. 감독천재!!,10,0,0,2017-05-29 12:09:00,0
6075,희망과 행복(arag****),인종차별에 대한 노골적이고 소름 돋는 메시지,9,0,0,2017-05-29 11:56:00,관람객
6076,happ****,공포 영화라기보단 신선한 소재의 영화였어요~,9,0,0,2017-05-29 11:51:00,관람객
6077,mayday(hhot****),재미있었어요!! 스포 전혀 안보고 가서 신선했고 저예산으로 이렇게 할수 있는게 대단한 것 같네요 ㅎㅎ,10,0,0,2017-05-29 11:34:00,0
6078,PreciselyQ(rain****),응 여친이 버민~             !  앙 기모찌,10,0,0,2017-05-29 11:24:00,0
6079,람이(gorn****),잘봤습니다 감사합니다,7,0,0,2017-05-29 11:23:00,관람객
6080,KITCAT(oops****),재밌게 잘 봤습니다. 인종차별에 대해 느끼는 점이 많은 영화네요.,9,0,0,2017-05-29 11:22:00,관람객
6081,ㅋㅋ(chlw****),ㅇㅈ~~$$@#!#,10,0,0,2017-05-29 11:06:00,0
6082,안미연(uit1****),간만에 영화다운 영화를 봤다,10,0,0,2017-05-29 11:05:00,0
6083,oste****,재밌는데...결말이...아쉽다.,7,0,0,2017-05-29 11:05:00,관람객
6084,navy****,저예산 영화의 본보기입니다,9,0,0,2017-05-29 11:03:00,0
6085,늑대(dowj****),너무 기대하고 보러간탓도 있지만 뭐 걍 재밌게 볼만한 수많은 영화들중 한편정도ㅋ,7,0,0,2017-05-29 11:00:00,관람객
6086,하하하8705(eunj****),"기대보다 살짝 못미치는 짜임새, 반전.",7,0,0,2017-05-29 10:46:00,관람객
6087,noprob(nopr****),겟아웃 겟아웃 재미있어요,8,0,0,2017-05-29 10:30:00,관람객
6088,개비기(artf****),본 듯한 구성이지만 소재는 신선합니다,7,0,0,2017-05-29 02:22:00,관람객
6089,뫼르소(cabi****),인종차별을 크게 체감할 수 없는 아시아에서도 이렇게 반응이 좋은데 실제 미국같은 곳에서는 얼마나 더 소름돋았을지... 필리 대단하다 정말,9,0,0,2017-05-29 01:43:00,0
6090,sash****,재밋당 ㅋㅋㅋㅋ 마지막이 약갼 아숩,10,0,0,2017-05-29 01:39:00,0
6091,이정혜(jhle****),고구마 잔뜩 먹고 물 딱 한 모금만 마신 느낌,7,0,0,2017-05-29 01:36:00,0
6092,bestseo(boxe****),조용하지만 반전임 처음엔 지루,8,0,0,2017-05-29 01:32:00,0
6093,컴친구(uexc****),긴장과 유머를 끝까지 놓치지 않는다. 이상하다 이상하다 그럴줄은 ㅎㅎ,9,0,0,2017-05-29 01:27:00,0
6094,하딸(dimp****),저렴이라며?인생영화.,9,0,0,2017-05-29 01:26:00,0
6095,suwan(gidr****),애매했다 뮤서운장면은 딱히 없음,6,0,0,2017-05-29 01:24:00,관람객
6096,비치(daeh****),모르고보면 더 재미있었을 듯,8,0,0,2017-05-29 01:21:00,관람객
6097,Pii(si92****),진짜 매력적임. 최면과 발상과 클리셰가 나쁘게 보이지 않음,10,0,0,2017-05-29 01:11:00,0
6098,삐딱한여우(pme0****),와우 반전!상상이상이다,8,0,0,2017-05-29 01:00:00,0
6099,lbs4****,올가미란 영화가 생각난다,7,0,0,2017-05-29 00:56:00,관람객
6100,설탕토끼(suga****),"마지막에 경찰차 왔을때, 흑인이 살인죄 다 뒤집어 쓰겠다고 당연하게 생각한 나 역시 편견으로부터 자유롭지 못한 것 같아 슬펐음.",7,0,0,2017-05-29 00:53:00,0
6101,이슬기(caka****),지루할 틈이 없다 진땀이 난다,9,0,0,2017-05-29 00:51:00,관람객
6102,inte****,그간의 미디어와 뉴스에서 본대로 결말을 예측한 나 자신에게 반성을..,8,0,0,2017-05-29 00:46:00,0
6103,잉레베듸(clev****),세련된 전개 그리고 집어삼키는 듯한 스릴감,8,0,0,2017-05-29 00:20:00,0
6104,재파리(huhz****),진짜 골까고 뚜껑 열리는 영화. 보면 안다,8,0,0,2017-05-29 00:19:00,0
6105,fasd****,긴장 대박.. 간만에 제대로된 스릴러.. 근데 이거 감독이 키앤필 제작*조연인 건 진짜 신기하네 ㅋㅋㅋ,10,0,0,2017-05-29 00:14:00,0
6106,푸른하늘(sunk****),안전하다고 사랑한다고 지켜준다는 순간 당합니다,10,0,0,2017-05-28 23:49:00,0
6107,또라에몽(warr****),이게왜 8점 대임??  보기드문 수작인데 ?,10,0,0,2017-05-28 23:47:00,0
6108,안은미(eunm****),잘 봤어요~신선했어요,7,0,0,2017-05-28 23:47:00,관람객
6109,무무찡(june****),제가 이래서 여자친구 안사귀는겁니다. 알겠죠?,9,0,0,2017-05-28 23:40:00,0
6110,싫으면 나가(heey****),"잔혹함이 없어진 건전해진 영화 ""호스텔"". 하여간, 주인공의 여자친구 가 제일 나빴다고, 전 생각합니다.",10,0,0,2017-05-28 23:32:00,0
6111,핫케이크(chh6****),속 시원합니다ㅎㅎㅎㅎ,10,0,0,2017-05-28 23:23:00,0
6112,융영(qncn****),보는내내 당황한감은 없지않아 있었지만 사람이 무섭다는걸 소름끼치게 보여준 영화였어요. 영화가끝나고 한사람한사람생각해보니 더 소름끼치고 내가 주인공이 되서 살아돌아온거같은 느낌 ㅋ,9,0,0,2017-05-28 23:17:00,0
6113,2scale(gen_****),개초개꿀잼. 완전재밋어요,10,0,0,2017-05-28 23:13:00,0
6114,랑해(dass****),호스텔+오텁시-고어 = 겟 아웃스릴있는 부분이 너무 짧아 몰입감이 좀 없긴한데 전체적으로 보면 재밌어요 개인적으로 고어영화를 좋아하다보니 19세 고어로 탈출할때 장면을 좀 늘려서 재방영하면 또 볼 것 같아요,7,0,0,2017-05-28 23:13:00,0
6115,cmc2****,볼만하지만 그렇게 재미있지는 않은 영화,7,0,0,2017-05-28 22:58:00,0
6116,서울촌놈2(imca****),볼만한 b급 영화~ 추천합니다. 예고편 안 보고 그냥 보면 더 좋을 듯! 흑인과 백인간의 사랑이 사회적 걸림돌 다룰 것 같은 분위기에서 제대로 호로 영화로 변신!,7,0,0,2017-05-28 22:54:00,0
6117,흐큐큐큐(airy****),영화 전개상 굳이 흑인만 납치할 이유는 없었는데. 미국 흑인 코미디언들이 그러하듯이 너무 인종을 강조하네. 웃음코드도 좀 집중안되고. 전체적으로는 괜찮은 영화였음,7,0,0,2017-05-28 22:33:00,0
6118,면세찬스를쓰자(taku****),기대를 많이 한 탓인지 생각보단 신선하진 않았다. 지루하진 않았는데 보는내내 스켈리톤키가 떠올랐다.,7,0,0,2017-05-28 22:27:00,0
6119,hyunsy(scen****),햄버거 치킨피자치킨피자 햄버거 치킨피자치킨피자~,10,0,0,2017-05-28 22:06:00,0
6120,ㅇㅁㅈㄱ(dnar****),나름 사이다 ㅋㅋ 성노예로 안되서 다행인듯,8,0,0,2017-05-28 21:55:00,관람객
6121,chevalblanc(ktle****),아.. 가정부 정말 얼굴만봐도 섬칫했음. 음악으로 놀래키는건 좀... 그랬음. 어쨌든 재밌게 봤다.,8,0,0,2017-05-28 21:55:00,0
6122,헤르미온느(hoya****),올만에진짜재미있게봤어요 무섭다가도중간에빵터져서웃고그랬네요~~;기대하지말고 봐보세요ㅋㅋ,9,0,0,2017-05-28 21:52:00,0
6123,구희선(qpfh****),보는내내 긴장!!! 영화가끝났는데 내손에 땀이 가득했다. 끝나고 해석을 찾아보게 되는 영화 재밌어욥!!,10,0,0,2017-05-28 21:28:00,0
6124,메기(leew****),신빡한 스릴러~~ 보고나면 씁쓸한데  재밌긴 또 재미있었던..,9,0,0,2017-05-28 21:26:00,0
6125,잠꼬대(yoom****),"새로운 장르의 스릴러라서 재밌게 봤습니다. 긴장감도 있고, 인종차별에 대한 몰랐던 시각을 알 수있었어요",8,0,0,2017-05-28 21:26:00,관람객
6126,이라키언(sunb****),소재는 흥미롭지만 감독과는 다르게 재미있진 않다. 특히 악당들이 생각보다 너무 허술했고 쉽게 나가떨어졌다.,7,0,0,2017-05-28 21:24:00,0
6127,BJH(qkdw****),최근에 느껴보지못한 극한의 스릴!!,9,0,0,2017-05-28 21:22:00,관람객
6128,Shiny_Breeder(kkmk****),자막 누가 만들었냐 ㅋㅋ Peele 필레가 뭐냐 필레가 ㅋㅋㅋ,9,0,0,2017-05-28 21:19:00,0
6129,백호(sand****),진짜 반전 쩔었고요 진짜 재미있었습니다,10,0,0,2017-05-28 21:15:00,0
6130,옐인(caro****),제가 무서운거 진짜 못보고 안보는데 이거 생각보다 무서웠어요.. 무서운거 못보시는분들 각오하고 가세욤,10,0,0,2017-05-28 21:11:00,0
6131,rees****,여러분 절대로 예고편 보지말고 가세요. 꼭이요!! 완전재밌었음!!!!,10,0,0,2017-05-28 20:19:00,0
6132,레터(rhdc****),신선한 충격이었다.메시지가 강렬했던 영화,8,0,0,2017-05-28 20:16:00,0
6133,소진ㅇㅇ(hd05****),ㅠ좋다조하더ㅣㅏㅇㄴ러ㅣㅏㄴㅇ러안ㄹ,10,0,0,2017-05-28 20:15:00,0
6134,어퓨굿맨(lcsj****),그냥보세요.더운데 더위 싹 가십니다.줄거리와 반전도 탄탄!,10,0,0,2017-05-28 20:15:00,0
6135,정다운(dawu****),재있게 잘 봤어요~~!!,8,0,0,2017-05-28 20:12:00,관람객
6136,오오미(chee****),기대안했으면 볼만함. 추리하는 재미,8,0,0,2017-05-28 20:05:00,관람객
6137,sudal011(ones****),다시는 커피 못저어먹을듯... 젓다가 나도 최면걸리는거 아녀???,10,0,0,2017-05-28 19:53:00,0
6138,BOB(don9****),감상평 : 포스터 존너 잘 뽑았다.,6,0,0,2017-05-28 19:47:00,0
6139,서울촌넘(dark****),예상을 넘어서는 뭔가가 있을거라 생각했는데 걍 예상했던 그대로 ㅡㅡ;;; 왜 화제인지 모르곘네,7,0,0,2017-05-28 19:41:00,0
6140,홍이(libe****),아직도 충격이 가시지가 않네요.,10,0,0,2017-05-28 19:37:00,0
6141,bobu****,굳굳 현실에 일어나지 않을거라곤 장담못하겠네요 재밌게 봤습니다 간만에 싸이코스럽지만 저급한 수준아닌 스릴러,8,0,0,2017-05-28 19:16:00,관람객
6142,wndw****,생각보다 안무섭고 스토리가 재밌음,8,0,0,2017-05-28 18:50:00,관람객
6143,쌍리(tkdg****),신선하고 재밌었어요 굿!,9,0,0,2017-05-28 18:48:00,관람객
6144,Jojo(stan****),개연성이 떨어져서 생각했던 것만큼 재미있진 않았음. 로튼 토마토 닷컴 지수 99%여서 너무 명작 기대하고 감ㅋㅋ 너무 기대 안하고 B급 공포  영화 보러 간다고 생각하고 가면 재미있을 듯.,7,0,0,2017-05-28 18:43:00,0
6145,야옹왕자(nacy****),좀더 긴장감을 만들었다면...잘봤습니다,7,0,0,2017-05-28 18:43:00,관람객
6146,bringitup(robo****),프로모션 팜플렛 뒷면 보고 빵터졌다ㅋㅋ,8,0,0,2017-05-28 18:41:00,0
6147,roal****,빨간상자 부분에서 소름돋음,10,0,0,2017-05-28 18:24:00,0
6148,uncl****,우울함을 먹은후 쾌감을 쌌다.,9,0,0,2017-05-28 18:22:00,0
6149,레드문(jsi1****),반전의 연속~ 친구의 소중함 ㅋㅋ,10,0,0,2017-05-28 18:20:00,0
6150,강예원(yyyy****),스릴있고 재밌었어요!,10,0,0,2017-05-28 18:13:00,관람객
6151,이한솔(dlqk****),마지막 반전 소름....,10,0,0,2017-05-28 18:09:00,관람객
6152,nudle(chla****),유색인종 차별을 다룬 영화인데 보기드문 신선한 스토리 전개에 흥미롭고 소름끼치는 연출이 인상적이었다. 어딘가 어긋나있는 사람 심리를 잠깐잠깐 보여주는 장면들이 너무 독특하고 무서웠음,9,0,0,2017-05-28 18:05:00,0
6153,로또일등(sunh****),영화보는동안 심심하진 않았다 ㅋㅋ,9,0,0,2017-05-28 18:04:00,0
6154,무(mooo****),천잰데????ㅋㅋㅋㅋ,7,0,0,2017-05-28 17:54:00,0
6155,wht0****,반전!좋았습니다 감독의 장면장면 숨겨진 의도와~,7,0,0,2017-05-28 17:42:00,관람객
6156,고민지(alsw****),처음과 중간에는 최고였으나 마지막이 허무하게 끝이 나버려 많이 아쉬웠던 영화..,7,0,0,2017-05-28 17:38:00,관람객
6157,ayon****,보통보통보통보통보통,5,0,0,2017-05-28 17:37:00,관람객
6158,lovelychoi(5987****),지루하지 않았어요 재밌네요,7,0,0,2017-05-28 17:37:00,0
6159,강현빈(bin8****),신선한 공포영화네요 재밌게 잘봤습니다,9,0,0,2017-05-28 17:36:00,관람객
6160,ilko****,보고나면 시시하다 입 소문 듣고보지마세요,7,0,0,2017-05-28 17:31:00,0
6161,타바타(penn****),그냥 뻔한 스토리이자 예측 가능한 반전 스릴러,7,0,0,2017-05-28 17:30:00,0
6162,은(ehhh****),완전재밌어여!!!부엌에 할머니지나갈때 후ㅋㅋㅋ근데 제르미 잘생김;;;,10,0,0,2017-05-28 17:18:00,관람객
6163,반전(dbst****),예고편봐서 그런가.. 너무 뻔했음 소재는 좋은데 내용이 다 예측이 됨,6,0,0,2017-05-28 17:17:00,0
6164,서네(masa****),난 별롱였어...스릴러도 아니구....별로,8,0,0,2017-05-28 17:05:00,관람객
6165,짱(zldn****),기대했던만큼은 아니지만 여러가지 의미도 함축되어있는 영화인것같고 스릴러로서 재밌게 봤습니다^^,8,0,0,2017-05-28 16:55:00,0
6166,whdc****,음악. 연출이 뛰어남 오프닝까진... 끝나기 직전까지 노골적으로 반복되는 클리셰로 엄청난 반전을 기대하게 하게한다. 없어도 그만인 떡밥과 안 보여주는 게 세련됐을 법한 마무리 회수. 시즌3개짜리 드라마 2개를 앞뒤만...,6,0,0,2017-05-28 16:34:00,0
6167,지푸라기(ridd****),"다 좋은데, 앤드류의 행방은??",8,0,0,2017-05-28 16:33:00,관람객
6168,rail****,한번 더 봐야겠다  두번 보고 싶은 영화,10,0,0,2017-05-28 16:06:00,0
6169,박준혁(vooj****),그저 그런  B급 영화  위기 까진 좋았는데 절정부터는 영...,5,0,0,2017-05-28 16:00:00,0
6170,웡경(dnjs****),음  생각했던것보다는 별로였믐데재밌었어용,7,0,0,2017-05-28 15:19:00,관람객
6171,ansr****,너무 큰 기대하고 보면 그냥 그렇지만 재미있어여!!!,8,0,0,2017-05-28 14:52:00,관람객
6172,dbsr****,개잼 개꿀 친구 임신중와이프도 추천,10,0,0,2017-05-28 14:02:00,관람객
6173,이동현(twod****),예고편... 진심 예고편 만든사람 생각이 없나?,6,0,0,2017-05-28 13:27:00,0
6174,이카로스의날개(kos4****),영화평가가 영향을 미치는 이유는 관객이 마치 자기최면과 같이 느끼기 때문이다.,6,0,0,2017-05-28 13:08:00,0
6175,김꽃(midr****),그냥 볼만함 근데 개인적으로 기대해서 그런가 기대에 못미쳤음,6,0,0,2017-05-28 12:52:00,0
6176,준면인내송금이나받아(wlrn****),예고편이 영화 내용의 다입니다. 너무 식상하고 뻔한 전개여서 거의 졸다 나왔네요 기대한것치고 별로였습니다 외국 고전 공포영화에서 봤던 연출들을 짜깁기한 느낌이었어요,6,0,0,2017-05-28 12:44:00,0
6177,ekth****,아무렇지않게 무덤덤하게 보고 나왔는데 심장이아픈영화,8,0,0,2017-05-28 12:05:00,관람객
6178,토마토갱(dhfb****),인종차별에 대한 사회적시선도 잘 묘사했고.. 누가 악당인지 모를 정도의 자비심없는 결말이 매우 인상적이었다!,8,0,0,2017-05-28 12:02:00,0
6179,바나나(plix****),별로 호불호 갈리겠다 싶음,5,0,0,2017-05-28 11:24:00,관람객
6180,wjdwn(lees****),볼만함갠취인듯 돈안아까움,9,0,0,2017-05-28 11:22:00,관람객
6181,다육이성장속도오짐(tpqm****),재밌다. 예고편 시청안하고 봤으면 더 재밌었겠지만!,8,0,0,2017-05-28 11:16:00,0
6182,두부(yang****),셔터 아일랜드 다음으로 소름돋게 본 심리 스릴러 영화였네요,9,0,0,2017-05-28 10:54:00,0
6183,mink(chon****),마지막에 진짜 개사이닼ㅋㅋㅋ 꼭보세요,10,0,0,2017-05-28 10:53:00,0
6184,madm****,보고나서 몇일동안 장면의 대사.표정.상황.연기 등등 곱씹어 생각할수록 재밌고 흥미롭네요,10,0,0,2017-05-28 10:43:00,0
6185,jaey****,기대 안하고 봤는데 대만족,10,0,0,2017-05-28 10:12:00,관람객
