,nickname,text,score,like,dislike,time,watch_movie
3632,삼계(samg****),정말 잘만든 영화고 모두가 봐야 한다,10,0,2,2018-01-21 00:49:00,0
3633,장지연(jang****),"지루할틈이 없는, 자신있게 추천할수있는영화",10,0,2,2018-01-17 03:29:00,0
3634,왕왕(dmsd****),굿굿굿 꼭추천하는 영화입니다,10,0,2,2018-01-16 00:00:00,0
3635,언제정신차릴래(madc****),아무 생각도 기대도 없이 봤는데 대박이었음 꼭 한 번 볼만한 명작임!,10,0,2,2018-01-11 15:52:00,0
3636,게령이(jjba****),진짜 인생영화에요 ㅠㅠ 가족들이랑 다같이 봤는데 오랜만에 영화다운 영화를 본것같아요!! 부모님도 굉장히 좋아하셨어요,10,0,2,2017-12-31 19:16:00,0
3637,shiee(shim****),미스 리틀 선샤인 이후 오랜만이다.,10,0,2,2017-12-31 16:49:00,0
3638,한지호(myji****),진짜 인종차별을 개인의 능력으로 이겨내는게 진짜 사이다였다,10,0,2,2017-12-25 20:56:00,0
3639,F리덤(chdl****),근래 본 영화 중에 단연 최고입니다..! 가족과 함께 보길 추천합니다,10,0,2,2017-12-25 00:48:00,0
3640,박예림(soop****),히든 피겨스는 정말 최고의 영화입니다.,10,0,2,2017-12-20 21:13:00,0
3641,정선규(ddff****),이런 영화는 히든하지 말기 !!!!,10,0,2,2017-12-20 03:47:00,0
3642,asdasdads(qjzb****),보면서 소름이 솓을정도로 뭐하나 빠질곳없이 완벽했던 영화,10,0,2,2017-12-17 13:13:00,0
3643,ckal****,모든 인간은 평등하다.,10,0,2,2017-12-16 15:35:00,0
3644,Alexander(ax88****),학교에서 봤는데 진짜 재밌었어요.극장에서 봤으면 더 좋았을텐데..,10,0,2,2017-12-05 20:40:00,0
3645,seyu****,"지적 우수함을 모두 드러내는 그 순간에서야 여성, 흑인에 대한 차별 편견을 한걸음 물리는 장면들이 아프다. 그 동시에 한걸음씩 더 나아갔던 이들이 감동적이다.",10,0,2,2017-12-04 21:27:00,0
3646,국어책(isaa****),진짜 감동적이고..진짜 최고...보는 내내 시간이 너무 빨리 지나감,10,0,2,2017-12-04 00:36:00,0
3647,터울(mute****),콜롬버스보다 더 유명했어야할 인물들,10,0,2,2017-12-02 16:34:00,0
3648,맛있는라면(08o_****),이걸 왜 이제야 봤는지 후회가 될 정도.. 우리가 살고있는 이시대에도 여성차별은 아직 남아있는 숙제가 아닌지 생각해본다.사회적 문제를 다루는 이 영화는 스트레스 해소에 짱이므로 강추합니다!!!!,10,0,2,2017-11-29 02:21:00,0
3649,kim(toco****),"영화는 이렇게 만드는거죠...스토리, 감동, 연기 빠지는게 없네요",10,0,2,2017-11-28 00:10:00,0
3650,JK(jk33****),요새  찾기  힘든  '볼  만한  영화',10,0,2,2017-11-26 00:17:00,0
3651,하약백곰(audw****),이건 꼭 봐야해~~~^^,10,0,2,2017-11-25 11:43:00,0
3652,UJin(ujin****),뻔해 …      (10자) ……,7,0,2,2017-11-19 13:55:00,0
3653,nave(clou****),보길잘했다 딸과 같이 보고싶은 영화,10,0,2,2017-11-11 00:09:00,0
3654,dsaddas(yuif****),인생은 그녀들 처럼!!!! 능력 is good!!걸크러쉬라는 말이 부끄럽다고 느껴진다. 멋찜 멋찜:) 크으,10,0,2,2017-11-06 04:08:00,0
3655,타자왕(ieew****),피부색과 성별의 차별을 뛰어넘고 능력을 입증한 세 사람의 감동적인 성공기. 색감과 영상미도 정말 예쁩니다.,10,0,2,2017-11-04 20:37:00,0
