,nickname,text,score,like,dislike,time,watch_movie
6776,태풍의눈(boba****),잔잔하게 잘 만든 영화입니다,10,0,0,2019-01-12 19:44:00,관람객
6777,전국반나절배송(kjh4****),간만에 제대로 느낀 영화,10,0,0,2019-01-12 19:25:00,0
6778,유연아빠(nan3****),잔잔한 여운이 있는 영화네요..,10,0,0,2019-01-12 19:11:00,0
6779,개성인(love****),재미 감동 교훈 음악 모두 다 있음,10,0,0,2019-01-12 19:01:00,0
6780,찬이맘(jull****),재미와 감동‥60년대 빈티지한 배경은 덤으로!,10,0,0,2019-01-12 18:52:00,관람객
6781,neon indian(para****),"배우들 연기는 말할 것도 없고, 영화의 흐름이 자연스러워서 시간 가는 줄 모르고 재밌게 봤네요. 큰 서사 없이도 잔잔한 여운이 많이 남습니다!",8,0,0,2019-01-12 18:48:00,관람객
6782,하똘똘(pers****),너무 좋은영화입니다 나가면서 다른관객들도 대만족 :),10,0,0,2019-01-12 18:42:00,0
6783,잠발라야(sylp****),마음이 따뜻해지는 아름다운 영화입니다,10,0,0,2019-01-12 18:39:00,0
6784,catl****,깊은 여운이 남는. 생각할 거리를 던져주는. 좋은 영화입니다.,10,0,0,2019-01-12 18:37:00,0
6785,까누(harr****),영화 줄거리만 보면 진부한 감동스토리 같은데 전혀 뻔한 느낌이 없다. 감동과 재미 다 잡은 따뜻한 영화,10,0,0,2019-01-12 18:36:00,0
6786,청노루(vjno****),오랜만에 수작을 만났습니다,10,0,0,2019-01-12 18:32:00,관람객
6787,캐나다(kimu****),처음 평점 남깁니다. 뻔한 얘기일수도 있지만 ...  보세요~,10,0,0,2019-01-12 18:30:00,0
6788,허반장(make****),두사람의 포옹에 눈물 왈칵..,10,0,0,2019-01-12 18:30:00,관람객
6789,정재윤(jjy7****),인종차별 해서는 안되지만 조선족 싫은건 어쩔수 없다 공감하면 좋아요좀,10,0,0,2019-01-12 18:26:00,0
6790,용아미맘(juya****),근래에 본 영화중 최고!!! 내려가기전에 꼭 보시길,10,0,0,2019-01-12 18:24:00,0
6791,ssam****,감동입니다~~꼭 보셔요~,10,0,0,2019-01-12 18:24:00,0
6792,아님말고(vies****),무겁지 않은 감동. 기분 좋은 영화.,10,0,0,2019-01-12 18:24:00,관람객
6793,한지훈(jhha****),세상에 나를 모질게 굴고 내 품위를 떨어뜨리는 사람들이 있을지라도 반대로 그렇지 않은 사람들이 있다는 것. 내게 용기를 주고 길을 잃지 않게 돕는 사람과 유쾌한 여행을 떠나는 영화,9,0,0,2019-01-12 18:23:00,0
6794,인생은아름다워(days****),최고란 말이 아깝지 않다 이렇게 몰입도 있는 영화는 2000년대 이후 첨이었다  내 인생작이다  가족 사랑 예술 모든 것이 그저 감동이다,10,0,0,2019-01-12 18:18:00,0
6795,noui****,오랜만에 좋은 로드무비 버디무비를 봐서 기분이 좋습니다. 중간에 이스턴인 호텔에서 비고모텐슨 이스턴프라미스가 생각이 나네요.,10,0,0,2019-01-12 18:06:00,0
6796,윰(yumk****),한시대의 다른삶을 다양한 관점에서 바라보게되는 의미있는 영화 입니다. 많은 사람들이 봤으면 좋겠습니다.,10,0,0,2019-01-12 18:03:00,관람객
6797,yuj1****,재미도있고 감동도 있는 영화에요꼭 보세요 강추,10,0,0,2019-01-12 17:52:00,0
6798,방송인(ly13****),최고입니다 역대급 영화,10,0,0,2019-01-12 17:50:00,0
6799,야간비행(hyej****),여운이 남는 영화. 배우들 연기도 좋았습니다.,10,0,0,2019-01-12 16:39:00,관람객
6800,jeon****,우정이 빛나는 영화고 감동 받았습니다,8,0,0,2019-01-12 16:39:00,관람객
6801,상추(krbr****),마음이 따뜻해지는 영화입니다,10,0,0,2019-01-12 16:37:00,0
6802,kks4****,진짜 너무 재미있었습니다. 강추강추!!!!,10,0,0,2019-01-12 16:25:00,0
6803,ymymchoichoi(tony****),보편적이지만 그 보편성이 따뜻하다,8,0,0,2019-01-12 15:36:00,관람객
6804,ssmi****,감동적인 영화. 울림을 주는 영화에요,10,0,0,2019-01-12 15:23:00,0
6805,방구(dbtj****),캐릭터들간의 케미가 너무 좋음,8,0,0,2019-01-12 15:16:00,0
6806,마이엘(main****),실화이기에 감동이 더할 수 있었던 영화... ^^,10,0,0,2019-01-12 14:55:00,0
6807,한주(hanj****),감동적인 좋은 영화네요,10,0,0,2019-01-12 14:54:00,0
6808,chloe(maru****),상투적이긴 하지만 즐겁게 봤어요,10,0,0,2019-01-12 14:10:00,관람객
6809,VanNistelrooy(with****),정말 좋은 영화. 꼭 보세요 정말,10,0,0,2019-01-12 12:47:00,0
6810,가츠(hjkw****),차별과 소수자에 대한 잔잔한 이야기,8,0,0,2019-01-12 11:48:00,관람객
6811,Brian may(xell****),흑인 술집에서 피아노를 칠 때 나도 모르게 계속 눈물이 났다..,10,0,0,2019-01-12 11:29:00,0
6812,dnql****,전형적인 로드무비의 버디무비.  훈훈하게 볼 수 있을 정도입니다.,8,0,0,2019-01-12 11:05:00,0
6813,호놀룰루(aidi****),우리는 여지껏 이마트가 얼마나 위대한지 잊고있었다.,10,0,0,2019-01-12 10:19:00,0
6814,골든캐년(fors****),"연기품질 극상, 각본 극상, 연출력 극상, 자막은 개망. 자막때문에 화가많이남",9,0,0,2019-01-12 08:23:00,0
6815,샤인세무회계(cta_****),"최곱니다. 감동, 유머, 자연경관 뭐하나 빠지지 않네요",10,0,0,2019-01-12 08:04:00,0
6816,rise****,뭔가 짠하면서도 웃음도 나고 참 재미있게 봤습니다.기억에 남을 영화 같아요. 남자 주인공들도 연기가 참 멋졌습니다.,10,0,0,2019-01-12 07:31:00,0
6817,딸기사모님(pear****),최근 본 영화중 참 잘 선택하고 잘 봤다 흐믓한 영화.보는내내 잔잔한 감동과 전율.피아선율의 따스함까지.추천각,10,0,0,2019-01-12 04:54:00,0
6818,ghkg****,여운이 많이 남는 영화네요. 다들 2번 보세요,10,0,0,2019-01-12 01:53:00,0
6819,heekimmi(tjgm****),유색인종에 대한 현실과 감동을 주는 영화입니다 최고,10,0,0,2019-01-12 01:20:00,0
6820,6824****,넘 재밌었어요. 연기도 최고에 노래도 다 좋당 ㅎ,10,0,0,2019-01-12 01:12:00,0
6821,Pypin(dlgp****),오랜만에 정말 재미있게 볼 만 영화였다,10,0,0,2019-01-12 01:00:00,관람객
6822,chang wom park(ckdd****),와....진짜 인생영화 미쳤다... 보는 내내 감정기복이 하... 짱 만들어 주셔서 감사합니다.,10,0,0,2019-01-12 00:54:00,0
6823,ddin****,잔잔하면서도 심금을 울리는 좋은 영화입니다,10,0,0,2019-01-12 00:38:00,0
6824,Justin Bieber(hunr****),정말 잼있어요 꼭 극장가서 보시길,10,0,0,2019-01-12 00:37:00,0
6825,O tm d als(osm0****),연기면 연기 재미면 재미 교훈이면 교훈 모두 갖춘영화다,10,0,0,2019-01-12 00:18:00,0
6826,죽인다(lees****),잔잔바리네요~~  미소짓게만드는 영화,8,0,0,2019-01-12 00:07:00,관람객
6827,양혜원(whho****),무거운 주제를 잔잔하고 유머있게 진행하는 스토리와 섬세하면서도 강렬한 배우들의 연기력이 정말 좋았습니다. 2019년의 첫 시작이 정말 좋네요! 추천합니다~ 힐링하고 가세요,10,0,0,2019-01-12 00:04:00,0
6828,개구리여사(rowe****),대박...최고입니다,10,0,0,2019-01-12 00:03:00,0
6829,hyun****,진지한 주제를 진정성과 브로맨스로 풀어내는 명작이네요!,10,0,0,2019-01-11 23:57:00,0
